Logistic Regression Classification Report:

              precision    recall  f1-score   support

           0       0.97      0.97      0.97      1333
           1       0.96      0.97      0.96      1637
           2       0.91      0.89      0.90      1397
           3       0.91      0.89      0.90      1434
           4       0.91      0.93      0.92      1295
           5       0.90      0.88      0.89      1266
           6       0.94      0.95      0.95      1403
           7       0.93      0.93      0.93      1455
           8       0.89      0.89      0.89      1373
           9       0.90      0.90      0.90      1407

    accuracy                           0.92     14000
   macro avg       0.92      0.92      0.92     14000
weighted avg       0.92      0.92      0.92     14000
