Neural Network Classification Report:

              precision    recall  f1-score   support

           0       0.96      0.96      0.96      1343
           1       0.95      0.98      0.96      1600
           2       0.94      0.91      0.93      1380
           3       0.93      0.91      0.92      1433
           4       0.93      0.95      0.94      1295
           5       0.92      0.91      0.91      1273
           6       0.93      0.97      0.95      1396
           7       0.95      0.95      0.95      1503
           8       0.92      0.91      0.91      1357
           9       0.94      0.92      0.93      1420

    accuracy                           0.94     14000
   macro avg       0.94      0.94      0.94     14000
weighted avg       0.94      0.94      0.94     14000
